販売,はんばい selling
自動販売機,じどうはんばいき vending machine
飛行機,ひこうき airplane
機械,きかい machine
機会,きかい chance; opportunity
増加,ぞうか increase
増える,ふえる to increase
増やす,ふやす to increase
減少,げんしょう decrease
減る,へる to decrease
減らす,へらす to decrease
量,りょう quantity
数量,すうりょう amount
増量,ぞうりょう increase in quantity
減量,げんりょう a loss in quantity (weight)
氷,こおり ice
氷海,ひょうかい ice river
返す,かえす to return something
返事,へんじ reply; answer; response
返却,へんきゃく return of something; repayment
お湯,おゆ hot water
湯気,ゆげ steam;vapour
湯飲み,ゆのみ teacup
