必要な,ひつような necessary
重要な,じゅうような important
要る,いる to need
冷房,れいぼう air conditioning
冷たい,つめたい cold
冷やす,ひやす to cool
冷える,ひえる to grow cold
冷める,さめる to cool down
冷ます,さます to cool something
冷蔵庫,れいぞうこ refrigerator
冷凍庫,れいとうこ freezer
凍る,こおる to freeze
金庫,きんこ a safe
車庫,しゃこ garage
召し上がる,めしあがる (polite) to eat
保存する,ほぞんする to preserve
ご存知です,ごぞんじです to know (humble form)
存じません,ぞんじません I don't know (humble)
必ず,かならず always; certainly
必死に,ひっしに desperately
